SELECT * FROM EISTHPOST.dbo.Stag_1LatLong;,387269,875394,-488125,19789745,0,387269
SELECT * FROM Stag_1LatLong,248243,346809,-98566,19788397,0,248243
SELECT [รหัสที่ทำการ]as col1, [ทีทำการนำจ่าย (DB)]as col2, โซน as col3, [ด้าน] as col4,
ระวาง as col5, [จุดนำจ่าย] as col6, [เลขที่บ้านเดิม] as col7, 
[เลขที่บ้านใหม่] as col8
FROM EISTHPOST.dbo.Stag_1LatLong;,186011,182980,3031,529075,0,186011
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>7045604 order by Numberno  SET NO_BROWSETABLE OFF;,121164,564126,-442962,725140,52,121164
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>7640844 order by Numberno  SET NO_BROWSETABLE OFF;,120652,560492,-439840,721097,23,120652
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>13809306 order by Numberno  SET NO_BROWSETABLE OFF;,112649,520674,-408025,676132,21,112649
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>14379887 order by Numberno  SET NO_BROWSETABLE OFF;,110851,515397,-404546,672769,14,110851
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>14932949 order by Numberno  SET NO_BROWSETABLE OFF;,106386,492640,-386254,670009,4,106386
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>15045900 order by Numberno  SET NO_BROWSETABLE OFF;,98912,453675,-354763,666188,5,98912
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>16128592 order by Numberno  SET NO_BROWSETABLE OFF;,96643,440098,-343455,653492,7,96643
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>15716722 order by Numberno  SET NO_BROWSETABLE OFF;,95759,438499,-342740,657062,4,95759
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>0 order by Numberno  SET NO_BROWSETABLE OFF;,87895,556015,-468120,690905,3,87895
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>1425809 order by Numberno  SET NO_BROWSETABLE OFF;,86600,549845,-463245,687801,0,86600
 SET FMTONLY OFF; SET NO_BROWSETABLE ON;select top 100000 * from vwHouseholdInformation where numberno>2113550 order by Numberno  SET NO_BROWSETABLE OFF;,85991,549178,-463187,684799,0,85991
