iemo,imo,Data File(s),427,F:\IEMODB\iemo.mdf
iemo,imo_log,Log File(s),132,F:\IEMODB\iemo_1.ldf
master,master,Data File(s),4,F:\Program Files\Microsoft SQL Server\MSSQL10_50.IEMO\MSSQL\DATA\master.mdf
master,mastlog,Log File(s),1,F:\Program Files\Microsoft SQL Server\MSSQL10_50.IEMO\MSSQL\DATA\mastlog.ldf
model,modeldev,Data File(s),2,F:\Program Files\Microsoft SQL Server\MSSQL10_50.IEMO\MSSQL\DATA\model.mdf
model,modellog,Log File(s),46,F:\Program Files\Microsoft SQL Server\MSSQL10_50.IEMO\MSSQL\DATA\modellog.ldf
msdb,MSDBData,Data File(s),508,F:\Program Files\Microsoft SQL Server\MSSQL10_50.IEMO\MSSQL\DATA\MSDBData.mdf
msdb,MSDBLog,Log File(s),14,F:\Program Files\Microsoft SQL Server\MSSQL10_50.IEMO\MSSQL\DATA\MSDBLog.ldf
tempdb,tempdev,Data File(s),8,F:\Program Files\Microsoft SQL Server\MSSQL10_50.IEMO\MSSQL\DATA\tempdb.mdf
tempdb,templog,Log File(s),0,F:\Program Files\Microsoft SQL Server\MSSQL10_50.IEMO\MSSQL\DATA\templog.ldf
