master,master,Data File(s),4,F:\Program Files\Microsoft SQL Server\MSSQL10_50.WU\MSSQL\DATA\master.mdf
master,mastlog,Log File(s),1,F:\Program Files\Microsoft SQL Server\MSSQL10_50.WU\MSSQL\DATA\mastlog.ldf
model,modeldev,Data File(s),2,F:\Program Files\Microsoft SQL Server\MSSQL10_50.WU\MSSQL\DATA\model.mdf
model,modellog,Log File(s),109,F:\Program Files\Microsoft SQL Server\MSSQL10_50.WU\MSSQL\DATA\modellog.ldf
msdb,MSDBData,Data File(s),508,F:\Program Files\Microsoft SQL Server\MSSQL10_50.WU\MSSQL\DATA\MSDBData.mdf
msdb,MSDBLog,Log File(s),14,F:\Program Files\Microsoft SQL Server\MSSQL10_50.WU\MSSQL\DATA\MSDBLog.ldf
tempdb,tempdev,Data File(s),8,F:\Program Files\Microsoft SQL Server\MSSQL10_50.WU\MSSQL\DATA\tempdb.mdf
tempdb,templog,Log File(s),0,F:\Program Files\Microsoft SQL Server\MSSQL10_50.WU\MSSQL\DATA\templog.ldf
western,western_Data,Data File(s),4523,F:\Program Files\Microsoft SQL Server\MSSQL10_50.WU\MSSQL\DATA\western.MDF
western,western_Log,Log File(s),1,F:\Program Files\Microsoft SQL Server\MSSQL10_50.WU\MSSQL\DATA\western_1.LDF
