"SELECT DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0) AS [DET_BE],   [fraud_detect].[FR_PC] AS [FR_PC],   [fraud_detect].[ITM_NAME] AS [ITM_NAME],   [fraud_detect].[PRICE] AS [PRICE],   [fraud_detect].[QTY] AS [QTY] FROM [dbo].[fraud_detect] [fraud_detect]",3344,189,3155,6463,0,3344
"SELECT [fraud_detect].[FR_PC] AS [FR_PC],   [fraud_detect].[ITM_NAME] AS [ITM_NAME],   DATEPART(day,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0)) AS [dy:DET_BE:ok],   DATEPART(month,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0)) AS [mn:DET_BE:ok],   SUM([fraud_detect].[PRICE]) AS [sum:PRICE:ok],   SUM(CAST([fraud_detect].[QTY] as BIGINT)) AS [sum:QTY:ok],   DATEPART(year,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0)) AS [yr:DET_BE:ok] FROM [dbo].[fraud_detect] [fraud_detect] GROUP BY [fraud_detect].[FR_PC],   [fraud_detect].[ITM_NAME],   DATEPART(day,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0)),   DATEPART(month,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0)),   DATEPART(year,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0))",1339,601,738,6452,0,4018
"SELECT [fraud_detect].[FR_PC] AS [FR_PC],   [fraud_detect].[ITM_NAME] AS [ITM_NAME],   DATEPART(day,[fraud_detect].[DET_BE]) AS [dy:DET_BE:ok],   DATEPART(month,[fraud_detect].[DET_BE]) AS [mn:DET_BE:ok],   SUM([fraud_detect].[PRICE]) AS [sum:PRICE:ok],   SUM(CAST([fraud_detect].[QTY] as BIGINT)) AS [sum:QTY:ok],   DATEPART(year,[fraud_detect].[DET_BE]) AS [yr:DET_BE:ok] FROM [dbo].[fraud_detect] [fraud_detect] GROUP BY [fraud_detect].[FR_PC],   [fraud_detect].[ITM_NAME],   DATEPART(day,[fraud_detect].[DET_BE]),   DATEPART(month,[fraud_detect].[DET_BE]),   DATEPART(year,[fraud_detect].[DET_BE])",1096,548,548,6452,0,1096
SELECT * from T_bag,537,24,513,586,0,537
SELECT x.* FROM DIGI.dbo.fraud_detect x,452,41,411,1787,0,1356
select * from T_bag,388,77,311,1907,0,2718
"declare      @CPU_Usage_Percentage int,      @Total_SQL_Server_Memory_MB int   -- CPU WITH y AS (     SELECT               CONVERT(VARCHAR(5), 100 - ca.c.value('.', 'INT')) AS system_idle,         CONVERT(VARCHAR(30), rb.event_date) AS event_date,         CONVERT(VARCHAR(8000), rb.record) AS record     FROM (            SELECT              CONVERT(XML, dorb.record) AS record,             DATEADD(ms, ( ts.ms_ticks - dorb.timestamp ), GETDATE()) AS event_date         FROM   sys.dm_os_ring_buffers AS dorb             CROSS JOIN (                  SELECT                      dosi.ms_ticks                  FROM sys.dm_os_sys_info AS dosi ) AS ts                 WHERE   dorb.ring_buffer_type = N'RING_BUFFER_SCHEDULER_MONITOR'                         AND record LIKE '%%' ) AS rb             CROSS APPLY rb.record.nodes('/Record/SchedulerMonitorEvent/SystemHealth/SystemIdle') AS ca(c)         )     SELECT @CPU_Usage_Percentage = (select          TOP 1 y.system_idle     FROM y      ORDER BY y.event_date DESC)   -- memory select @Total_SQL_Server_Memory_MB = (select      cntr_value / 1024 from sys.dm_os_performance_counters pc where   [object_name] = 'SQLServer:Memory Manager'         and counter_name = 'Total Server Memory (KB)'                                                                                                         )   select      @CPU_Usage_Percentage           [CPU_Usage_Percentage],      @Total_SQL_Server_Memory_MB     [Total_SQL_Server_Memory_MB]; 	 WITH DB_CPU_Stats AS (SELECT pa.DatabaseID, DB_Name(pa.DatabaseID) AS [Database Name], SUM(qs.total_worker_time/1000) AS [CPU_Time_Ms]  FROM sys.dm_exec_query_stats AS qs WITH (NOLOCK)  CROSS APPLY (SELECT CONVERT(int, value) AS [DatabaseID]               FROM sys.dm_exec_plan_attributes(qs.plan_handle)               WHERE attribute = N'dbid') AS pa  GROUP BY DatabaseID) SELECT ROW_NUMBER() OVER(ORDER BY [CPU_Time_Ms] DESC) AS [CPU Rank],        [Database Name], [CPU_Time_Ms] AS [CPU Time (ms)],        CAST([CPU_Time_Ms] * 1.0 / SUM([CPU_Time_Ms]) OVER() * 100.0 AS DECIMAL(5, 2)) AS [CPU Percent] FROM DB_CPU_Stats WHERE DatabaseID <> 32767 -- ResourceDB ORDER BY [CPU Rank] OPTION (RECOMPILE);   DECLARE @total_buffer INT;  SELECT @total_buffer = cntr_value FROM sys.dm_os_performance_counters  WHERE RTRIM([object_name]) LIKE '%Buffer Manager' AND counter_name = 'Database Pages';  ;WITH src AS (   SELECT    database_id, db_buffer_pages = COUNT_BIG(*)   FROM sys.dm_os_buffer_descriptors   --WHERE database_id BETWEEN 5 AND 32766   GROUP BY database_id ) SELECT [db_name] = CASE [database_id] WHEN 32767  THEN 'Resource DB'  ELSE DB_NAME([database_id]) END, db_buffer_pages, db_buffer_MB = db_buffer_pages / 128, db_buffer_percent = CONVERT(DECIMAL(6,3),  db_buffer_pages * 100.0 / @total_buffer) FROM src ORDER BY db_buffer_MB DESC;  ",346,346,0,0,0,346
" DECLARE @total_buffer INT;  SELECT @total_buffer = cntr_value FROM sys.dm_os_performance_counters  WHERE RTRIM([object_name]) LIKE '%Buffer Manager' AND counter_name = 'Database Pages';  ;WITH src AS (   SELECT    database_id, db_buffer_pages = COUNT_BIG(*)   FROM sys.dm_os_buffer_descriptors   --WHERE database_id BETWEEN 5 AND 32766   GROUP BY database_id ) SELECT [db_name] = CASE [database_id] WHEN 32767  THEN 'Resource DB'  ELSE DB_NAME([database_id]) END, db_buffer_pages, db_buffer_MB = db_buffer_pages / 128, db_buffer_percent = CONVERT(DECIMAL(6,3),  db_buffer_pages * 100.0 / @total_buffer) FROM src ORDER BY db_buffer_MB DESC;  ",327,327,0,0,0,327
"declare      @CPU_Usage_Percentage int,      @Total_SQL_Server_Memory_MB int   -- CPU WITH y AS (     SELECT               CONVERT(VARCHAR(5), 100 - ca.c.value('.', 'INT')) AS system_idle,         CONVERT(VARCHAR(30), rb.event_date) AS event_date,         CONVERT(VARCHAR(8000), rb.record) AS record     FROM (            SELECT              CONVERT(XML, dorb.record) AS record,             DATEADD(ms, ( ts.ms_ticks - dorb.timestamp ), GETDATE()) AS event_date         FROM   sys.dm_os_ring_buffers AS dorb             CROSS JOIN (                  SELECT                      dosi.ms_ticks                  FROM sys.dm_os_sys_info AS dosi ) AS ts                 WHERE   dorb.ring_buffer_type = N'RING_BUFFER_SCHEDULER_MONITOR'                         AND record LIKE '%%' ) AS rb             CROSS APPLY rb.record.nodes('/Record/SchedulerMonitorEvent/SystemHealth/SystemIdle') AS ca(c)         )     SELECT @CPU_Usage_Percentage = (select          TOP 1 y.system_idle     FROM y      ORDER BY y.event_date DESC)   -- memory select @Total_SQL_Server_Memory_MB = (select      cntr_value / 1024 from sys.dm_os_performance_counters pc where   [object_name] = 'SQLServer:Memory Manager'         and counter_name = 'Total Server Memory (KB)'                                                                                                         )   select      @CPU_Usage_Percentage           [CPU_Usage_Percentage],      @Total_SQL_Server_Memory_MB     [Total_SQL_Server_Memory_MB]; 	 WITH DB_CPU_Stats AS (SELECT pa.DatabaseID, DB_Name(pa.DatabaseID) AS [Database Name], SUM(qs.total_worker_time/1000) AS [CPU_Time_Ms]  FROM sys.dm_exec_query_stats AS qs WITH (NOLOCK)  CROSS APPLY (SELECT CONVERT(int, value) AS [DatabaseID]               FROM sys.dm_exec_plan_attributes(qs.plan_handle)               WHERE attribute = N'dbid') AS pa  GROUP BY DatabaseID) SELECT ROW_NUMBER() OVER(ORDER BY [CPU_Time_Ms] DESC) AS [CPU Rank],        [Database Name], [CPU_Time_Ms] AS [CPU Time (ms)],        CAST([CPU_Time_Ms] * 1.0 / SUM([CPU_Time_Ms]) OVER() * 100.0 AS DECIMAL(5, 2)) AS [CPU Percent] FROM DB_CPU_Stats WHERE DatabaseID <> 32767 -- ResourceDB ORDER BY [CPU Rank] OPTION (RECOMPILE);   DECLARE @total_buffer INT;  SELECT @total_buffer = cntr_value FROM sys.dm_os_performance_counters  WHERE RTRIM([object_name]) LIKE '%Buffer Manager' AND counter_name = 'Database Pages';  ;WITH src AS (   SELECT    database_id, db_buffer_pages = COUNT_BIG(*)   FROM sys.dm_os_buffer_descriptors   --WHERE database_id BETWEEN 5 AND 32766   GROUP BY database_id ) SELECT [db_name] = CASE [database_id] WHEN 32767  THEN 'Resource DB'  ELSE DB_NAME([database_id]) END, db_buffer_pages, db_buffer_MB = db_buffer_pages / 128, db_buffer_percent = CONVERT(DECIMAL(6,3),  db_buffer_pages * 100.0 / @total_buffer) FROM src ORDER BY db_buffer_MB DESC;  ",293,293,0,0,0,293
"SELECT [fraud_detect].[FR_PC] AS [FR_PC],   [fraud_detect].[ITM_NAME] AS [ITM_NAME],   DATEPART(month,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0)) AS [mn:DET_BE:ok],   DATEPART(quarter,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0)) AS [qr:DET_BE:ok],   SUM([fraud_detect].[PRICE]) AS [sum:PRICE:ok],   SUM(CAST([fraud_detect].[QTY] as BIGINT)) AS [sum:QTY:ok],   DATEPART(year,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0)) AS [yr:DET_BE:ok] FROM [dbo].[fraud_detect] [fraud_detect] GROUP BY [fraud_detect].[FR_PC],   [fraud_detect].[ITM_NAME],   DATEPART(month,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0)),   DATEPART(quarter,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0)),   DATEPART(year,DATEADD(day,DATEDIFF(day,0,([fraud_detect].[DET_BE])),0))",274,251,23,6452,0,274
