" CREATE         PROCEDURE [dbo].[lock_data_emo_list_more4] AS DECLARE @Error INT SET NOCOUNT OFF DECLARE @rt int  -- update emo_list set emo_reserver = 99998,emo_reserve_dte_tme = '01 jan 2100 00:00:00' -- where cashed_pstcde_id = 0 and --(emo_status2 is null or emo_status3 is null)  --and (EMO_STATUS5 is null and EMO_STATUS6 is null) ----add 28/11/2559 --and emo_reserver is null --and emo_reserve_dte_tme is null  --and DATEADD(Month, 4, convert(varchar,substring(emo_nbr,7,6),111)) < getdate()   --update  emo_list set emo_reserver = 99998,emo_reserve_dte_tme = '01 jan 2100 00:00:00' --where cashed_pstcde_id = 0 and --(emo_status2 is null or emo_status3 is null)  --and (EMO_STATUS5 is not null or EMO_STATUS6 is not null) ----add 28/11/2559 --and emo_reserver is null --and emo_reserve_dte_tme is null  --and DATEADD(Month, 20, convert(varchar,substring(emo_nbr,7,6),111)) < getdate()  --datediff(month,convert(varchar,substring(emo_nbr,7,6),111),getdate()) > 4 --commit  --lock 4 month  update emo_list   set emo_reserver = 99998,emo_reserve_dte_tme = '01 jan 2100 00:00:00'  where cashed_pstcde_id = 0 and (emo_status2 is null or emo_status3 is null) and ((emo_reserver is null and emo_reserve_dte_tme is null ) or (emo_reserver = 0 and EMO_STATUS8 is null)) and convert(varchar(4),DATEADD(Month, 4, emo_status1),12) < convert(varchar(4),DATEADD(Month, 0, GETDATE()),12) and emo_nbr not in (select emo_nbr from EMO_LIST_TANACHART)  --unlock Thanachart 4 month because new ca lock 4 month but tanachart lock 6 month  update emo_list   set emo_reserver = 0,emo_reserve_dte_tme = getdate(),EMO_STATUS8 = getdate()  where cashed_pstcde_id = 0 and (emo_status2 is null or emo_status3 is null) and convert(varchar(4),DATEADD(Month, 4, emo_status1),12) < convert(varchar(4),DATEADD(Month, 0, GETDATE()),12) and emo_nbr in (select emo_nbr from EMO_LIST_TANACHART)  --lock Thanachart and move 6 month update emo_list  set emo_reserver = 99998,emo_reserve_dte_tme = '01 jan 2100 00:00:00' where cashed_pstcde_id = 0 and (emo_status2 is null or emo_status3 is null) and convert(varchar(4),DATEADD(Month, 6, emo_status1),12) < convert(varchar(4),DATEADD(Month, 0, GETDATE()),12) and emo_nbr in (select emo_nbr from EMO_LIST_TANACHART)  insert into [dbo].[EMO_LIST_EXPIRED_TANACHAT] select * from emo_list where cashed_pstcde_id = 0 and (emo_status2 is null or emo_status3 is null) and convert(varchar(4),DATEADD(Month, 6, emo_status1),12) < convert(varchar(4),DATEADD(Month, 0, GETDATE()),12) and emo_nbr in (select emo_nbr from EMO_LIST_TANACHART)  SET @rt = @@ROWCOUNT if (@rt > 0)  	 BEGIN 	      delete from emo_list 		  where cashed_pstcde_id = 0 and 		  (emo_status2 is null or emo_status3 is null) and 		  convert(varchar(4),DATEADD(Month, 6, emo_status1),12) < convert(varchar(4),DATEADD(Month, 0, GETDATE()),12) and 		  emo_nbr in (select emo_nbr from EMO_LIST_TANACHART) 	 END      --เดือนที่หมดอายุ < เดือนที่รัน job --run job ทุกวันที่ 1 ของเดือน เวลา 00.01 น.   ",9403,9394,9,868734,682,28210
"()begin try  select (dense_rank() over(order by (case when at.transaction_type = 4 then case at.dtc_state when 1 then 'Active' when 2 then 'Prepared' when 3 then 'Committed' when 4 then 'Aborted' when 5 then 'Recovered' end else case at.transaction_state when 0 then 'Invalid' when 1 then 'Initialized' when 2 then 'Active' when 3 then 'Ended' when 4 then 'Commit Started' when 5 then 'Prepared' when 6 then 'Committed' when 7 then 'Rolling Back' when 8 then 'Rolled Back' end end)))%2 as l1 ,       (dense_rank() over(order by (case when at.transaction_type = 4 then case at.dtc_state when 1 then 'Active' when 2 then 'Prepared' when 3 then 'Committed' when 4 then 'Aborted' when 5 then 'Recovered' end else case at.transaction_state when 0 then 'Invalid' when 1 then 'Initialized' when 2 then 'Active' when 3 then 'Ended' when 4 then 'Commit Started' when 5 then 'Prepared' when 6 then 'Committed' when 7 then 'Rolling Back' when 8 then 'Rolled Back' end end),st.session_id, s.host_name, s.program_name, s.login_name, s.login_time))%2 as l2 ,       (dense_rank() over(order by (case when at.transaction_type = 4 then case at.dtc_state when 1 then 'Active' when 2 then 'Prepared' when 3 then 'Committed' when 4 then 'Aborted' when 5 then 'Recovered' end else case at.transaction_state when 0 then 'Invalid' when 1 then 'Initialized' when 2 then 'Active' when 3 then 'Ended' when 4 then 'Commit Started' when 5 then 'Prepared' when 6 then 'Committed' when 7 then 'Rolling Back' when 8 then 'Rolled Back' end end),st.session_id, s.host_name, s.program_name, s.login_name, s.login_time, dt.transaction_id))%2 as l3 ,       (dense_rank() over(order by (case when at.transaction_type = 4 then case at.dtc_state when 1 then 'Active' when 2 then 'Prepared' when 3 then 'Committed' when 4 then 'Aborted' when 5 then 'Recovered' end else case at.transaction_state when 0 then 'Invalid' when 1 then 'Initialized' when 2 then 'Active' when 3 then 'Ended' when 4 then 'Commit Started' when 5 then 'Prepared' when 6 then 'Committed' when 7 then 'Rolling Back' when 8 then 'Rolled Back' end end),st.session_id, s.host_name, s.program_name, s.login_name, s.login_time, dt.transaction_id ,(case when obj.name is null then 'Other resources' else obj.name end)))%2 as l4 ,       (dense_rank() over(order by (case when at.transaction_type = 4 then case at.dtc_state when 1 then 'Active' when 2 then 'Prepared' when 3 then 'Committed' when 4 then 'Aborted' when 5 then 'Recovered' end else case at.transaction_state when 0 then 'Invalid' when 1 then 'Initialized' when 2 then 'Active' when 3 then 'Ended' when 4 then 'Commit Started' when 5 then 'Prepared' when 6 then 'Committed' when 7 then 'Rolling Back' when 8 then 'Rolled Back' end end),st.session_id, s.host_name, s.program_name, s.login_name, s.login_time, dt.transaction_id,(case when obj.name is null then 'Other resources' else obj.name end),tl.resource_type))%2 as l5 ,       dense_rank() over(partition by case when at.transaction_type =4 then case at.dtc_state when 1 then 2 when 2 then 5 when 3 then 6 when 4 then 9 when 5 then 10 else at.dtc_state*2 end else at.transaction_state end order by dt.transaction_id)as rank ,       st.session_id ,       s.host_name ,       s.program_name ,       s.login_name ,       s.login_time ,       s.host_process_id ,       dt.transaction_id as tran_id ,       at.name ,       at.transaction_begin_time as tran_start_time ,       case when at.transaction_type = 4                  then case at.dtc_state                                  when 1 then 'Active'                                  when 2 then 'Prepared'                                  when 3 then 'Committed'                                  when 4 then 'Aborted'                                  when 5 then 'Recovered'                          end                  else case at.transaction_state                                  when 0 then 'Invalid'                                  when 1 then 'Initialized'                                  when 2 then 'Active'                                  when 3 then 'Ended'                                  when 4 then 'Commit Started'                                  when 5 then 'Prepared'                                  when 6 then 'Committed'                                  when 7 then 'Rolling Back'                                  when 8 then 'Rolled Back'                          end          end as state ,       case when at.transaction_type = 4                  then case at.dtc_isolation_level                                  when 0xffffffff then 'Unknown'                                  when 0x10 then 'Chaos'                                  when 0x100 then 'Read Uncommitted'                                  when 0x1000 then 'Read Committed'                                  when 0x10000 then 'Repeatable Read'                                  when 0x100000 then 'Serializable'                                  when 0x100000 then 'Isolated'                          end                  else case Convert(int,r.transaction_isolation_level)                                     when 1 then 'Read Uncommitted'                                   when 2 then 'Read Committed'                                  when 3 then 'Repeatable Read'                                  when 4 then 'Serializable'                                  when 5 then 'Snapshot'                                  else 'Unknown'                          end          end as transaction_isolation_level  ,       at.transaction_type as tran_type ,       (select count(*) from sys.dm_tran_locks tlock where  (tlock.request_owner_id = dt.transaction_id and tlock.resource_database_id = db_id()) ) as 'total' ,       tl.resource_type ,       case when obj.name is null then 'Other resources' else obj.name end as resource_name ,       convert( varchar,tl.request_mode) as request_mode ,       (select count(*) from sys.dm_tran_locks tlock left outer join sys.partitions pt1 on ( pt1.hobt_id = tlock.resource_associated_entity_id ) left outer join sys.objects obj1 on ( obj1.object_id in (pt1.object_id, tlock.resource_associated_entity_id) )  where ( 1 = (case when obj.object_id is null then 1 else case when obj1.object_id = obj.object_id then 1 else 0 end end ) ) and (tlock.resource_type = tl.resource_type) and (tlock.request_mode = tl.request_mode) and (tlock.request_owner_id = dt.transaction_id) and tlock.resource_database_id = db_id() and (tlock.request_status = 'GRANT') ) as 'Granted'  ,       (select count(*) from sys.dm_tran_locks tlock left outer join sys.partitions pt1 on ( pt1.hobt_id = tlock.resource_associated_entity_id ) left outer join sys.objects obj1 on ( obj1.object_id in (pt1.object_id, tlock.resource_associated_entity_id) )  where ( 1 = (case when obj.object_id is null then 1 else case when obj1.object_id = obj.object_id then 1 else 0 end end ) ) and (tlock.resource_type = tl.resource_type) and (tlock.request_mode = tl.request_mode) and (tlock.request_owner_id = dt.transaction_id) and tlock.resource_database_id = db_id() and (tlock.request_status = 'WAIT') ) as 'Waiting' ,       (select count(*) from sys.dm_tran_database_transactions where transaction_id = dt.transaction_id) as db_span_count ,       st.is_local  from    sys.dm_tran_database_transactions dt  left outer join sys.dm_tran_locks tl on ( (tl.request_owner_id = dt.transaction_id) and ( tl.resource_database_id = DB_ID() ) )  inner join sys.dm_tran_active_transactions at  on (at.transaction_id = dt.transaction_id)    inner join sys.dm_tran_session_transactions st  on (st.transaction_id = dt.transaction_id)  left outer join sys.dm_exec_sessions s on ( st.session_id = s.session_id )  left outer join sys.dm_exec_requests r on (r.transaction_id = dt.transaction_id)   left outer join sys.partitions pt on ( pt.hobt_id = case when tl.resource_type in ('RID', 'KEY', 'PAGE', 'EXTENT') then (tl.resource_associated_entity_id) else null end  )      left outer join sys.objects obj on ( obj.object_id = ( case when tl.resource_type in ('TABLE') then tl.resource_associated_entity_id when tl.resource_type in ('RID', 'KEY', 'PAGE', 'EXTENT') then pt.object_id else null end ) )  where (dt.database_id = DB_ID()) and (st.is_user_transaction=1)  group by        st.session_id, s.host_name, s.program_name, s.login_name, s.login_time, s.host_process_id, dt.transaction_id,at.name, at.transaction_begin_time, at.transaction_state, at.dtc_state, r.transaction_isolation_level, at.dtc_isolation_level, at.transaction_type, obj.object_id, obj.name, tl.resource_type, tl.request_mode, st.is_local order by  st.session_id, dt.transaction_id,at.name, r.transaction_isolation_level, at.transaction_type, obj.object_id, obj.name, tl.resource_type, tl.request_mode  end try  begin catch  select 1 as rank, 1 as session_id, 1 as host_name, 1 as program_name, 1 as login_name, 1 as login_time, 1 as host_process_id, 1 as tran_id, 1 as name, 1 as tran_start_time, 1 as state, 1 as transaction_isolation_level, 1 as tran_type, 1 as total, 1 as resource_type ,       ERROR_NUMBER()  as resource_name ,       ERROR_SEVERITY() as request_mode ,       ERROR_STATE() as Granted ,       ERROR_MESSAGE() as Waiting ,       1 as db_span_count, 1 as is_local ,       -100 as l1 ,       1 as l2, 1 as l3, 1 as l4, 1 as l5   end catch",8617,8616,1,59,0,8617
"-- ============================================= -- Author:		<Author,,Name> -- Create date: <Create Date,,> -- Description:	<Description,,> -- ============================================= CREATE PROCEDURE [dbo].[unlock_data_emo_list_unlocked] AS DECLARE @Error INT; BEGIN 	update emo_list set EMO_STATUS8 = GETDATE() 	where EMO_STATUS8 is not null  	and EMO_STATUS9 is null  	and CASHED_PSTCDE_ID =0 and (EMO_RESERVER is null or EMO_RESERVER = 0)  	update emo_list set EMO_STATUS8 = GETDATE() 	where EMO_STATUS8 is not null  	and (EMO_STATUS8>EMO_STATUS9 )  	and CASHED_PSTCDE_ID =0 and (EMO_RESERVER is null or EMO_RESERVER = 0) END ",7077,42,7035,4808,42,21232
"-- ============================================= -- Author:		<Author,,Name> -- Create date: <Create Date,,> -- Description:	<Description,,> -- ============================================= CREATE PROCEDURE [dbo].[unlock_data_emo_list_unlocked] AS DECLARE @Error INT; BEGIN 	update emo_list set EMO_STATUS8 = GETDATE() 	where EMO_STATUS8 is not null  	and EMO_STATUS9 is null  	and CASHED_PSTCDE_ID =0 and (EMO_RESERVER is null or EMO_RESERVER = 0)  	update emo_list set EMO_STATUS8 = GETDATE() 	where EMO_STATUS8 is not null  	and (EMO_STATUS8>EMO_STATUS9 )  	and CASHED_PSTCDE_ID =0 and (EMO_RESERVER is null or EMO_RESERVER = 0) END ",2398,38,2360,4769,0,7196
"       SELECT       db_id() AS database_id,       c.system_type_id,       c.user_type_id,       c.is_sparse,       c.is_column_set,       c.is_filestream,       c.encryption_type,       CASE WHEN o.object_id IS NOT NULL THEN 1 ELSE 0 END AS is_user,       COUNT_BIG(*) AS [ColCount],       CASE WHEN c.collation_name IS NULL THEN CONVERT(VARCHAR(128), SERVERPROPERTY('Collation')) ELSE c.collation_name END AS collation_name,       AVG(c.max_length) AS avg_max_length       FROM sys.columns c WITH (NOLOCK)       LEFT OUTER JOIN sys.objects o WITH (NOLOCK)       ON o.object_id = c.object_id       AND o.type = 'U'       GROUP BY       c.system_type_id,       c.user_type_id,       c.is_sparse,       c.is_column_set,       c.encryption_type,       c.is_filestream,       CASE WHEN o.object_id IS NOT NULL THEN 1 ELSE 0 END,       CASE WHEN c.collation_name IS NULL THEN CONVERT(VARCHAR(128), SERVERPROPERTY('Collation')) ELSE c.collation_name END     ",1610,964,646,401,7,161040
"()                 begin try                 declare @enable int;                 select top 1 @enable = convert(int,value_in_use) from sys.configurations where name = 'default trace enabled'                 if @enable = 1 --default trace is enabled                 begin                 declare @curr_tracefilename varchar(500);                 declare @base_tracefilename varchar(500);                 declare @indx int ;                 declare @temp_trace table (                 StartTime datetime                 ,       EventSubClass int                 ,       IntegerData int                 );                 declare @path_separator CHAR(1) ;                 set @path_separator = ISNULL(CONVERT(CHAR(1), serverproperty('PathSeparator')), '\') ;                  select @curr_tracefilename = path from sys.traces where is_default = 1 ;                 set @curr_tracefilename = reverse(@curr_tracefilename)                 select @indx  = PATINDEX('%'+@path_separator+'%', @curr_tracefilename)                 set @curr_tracefilename = reverse(@curr_tracefilename)                 set @base_tracefilename = LEFT( @curr_tracefilename, len(@curr_tracefilename) - @indx) + @path_separator + 'log.trc';                  insert into @temp_trace                 select StartTime                 ,       EventSubClass                 ,       IntegerData                 from ::fn_trace_gettable( @base_tracefilename, default )                 where EventClass = 81;                  update @temp_trace set IntegerData = -IntegerData where EventSubClass = 2;                  select   1 as row_no                 ,       StartTime                 ,       EventSubClass                 ,       IntegerData                 ,       case when IntegerData < 0                 then -IntegerData                 else IntegerData                 end ""Absolute""                 from @temp_trace                 where (datediff(dd,StartTime,getdate()) < 7) order by StartTime ;                 end                 else                 begin                 select top 0 1 as row_no, 1 as StartTime , 1 as EventSubClass, 1 as IntegerData, 1 as Absolute                 end                 end try                 begin catch                 select  -100 as row_no                 ,       ERROR_NUMBER()  as StartTime                 ,       ERROR_SEVERITY() as EventSubClass                 ,       ERROR_STATE()  as   IntegerData                 ,       ERROR_MESSAGE() as Absolute                 end catch               ",523,522,1,0,0,1571
"       WITH CTE AS (       SELECT DISTINCT i.object_id oid, i.index_id iid       FROM sys.indexes i WITH(nolock)       JOIN sys.index_columns ic WITH(nolock) ON i.object_id = ic.object_id       JOIN sys.columns c WITH(nolock) ON ic.column_id = c.column_id AND c.object_id = i.object_id       WHERE c.system_type_id = 41 AND c.user_type_id = 41 -- only time columns       AND ic.key_ordinal != 0 -- only key columns       )       SELECT COUNT_BIG(*) AS [NumTimeIndices], db_id() AS database_id       FROM CTE     ",246,138,108,4903,0,24690
"declare @Path nvarchar(255) declare @Name nvarchar(255)   select @Path = N'G:\Backup_SQL\EMO\Transaction'   select @Name = null;           create table #filetmpfin (Name nvarchar(255) NOT NULL, IsFile bit NULL, FullName nvarchar(300) not NULL)         declare @FullName nvarchar(300)         declare @UseLegacyXPs bit = 1          if exists (select 1 from sys.all_objects where name = 'dm_os_enumerate_filesystem' and type = 'IF' and is_ms_shipped = 1)            select @UseLegacyXPs = IIF((LOWER(@Name) = N'nul') AND (exists (select 1 from sys.dm_os_host_info where host_platform = 'Windows')), 1, 0)          if @UseLegacyXPs = 0         begin            if (@Name is null)           begin                insert #filetmpfin select file_or_directory_name, 1 - is_directory, full_filesystem_path from sys.dm_os_enumerate_filesystem(@Path, '*') where [level] = 0           end            if (NOT @Name is null)           begin              if(@Path is null)                select @FullName = @Name             else               select @FullName = @Path 	+ convert(nvarchar(1), serverproperty('PathSeparator')) + @Name              create table #filetmp3 ( Exist bit NOT NULL, IsDir bit NOT NULL, DirExist bit NULL )              insert #filetmp3 select file_exists, file_is_a_directory, parent_directory_exists from sys.dm_os_file_exists(@FullName)              insert #filetmpfin select @Name, 1-IsDir, @FullName from #filetmp3 where Exist = 1 or IsDir = 1              drop table #filetmp3            end         end         else         begin           if(@Name is null)           begin             if (right(@Path, 1) = '\')               select @Path= substring(@Path, 1, len(@Path) - charindex('\', reverse(@Path)))             create table #filetmp (Name nvarchar(255) NOT NULL, depth int NOT NULL, IsFile bit NULL )             insert #filetmp EXECUTE master.dbo.xp_dirtree @Path, 1, 1             insert #filetmpfin select Name, IsFile, @Path + '\' + Name from #filetmp f             drop table #filetmp           end            if(NOT @Name is null)           begin             if(@Path is null)               select @FullName = @Name             else               select @FullName = @Path +  '\' + @Name             if (right(@FullName, 1) = '\')               select @Path= substring(@Path, 1, len(@FullName) - charindex('\', reverse(@FullName)))             create table #filetmp2 ( Exist bit NOT NULL, IsDir bit NOT NULL, DirExist bit NULL )             insert #filetmp2 EXECUTE master.dbo.xp_fileexist @FullName             insert #filetmpfin select @Name, 1-IsDir, @FullName from #filetmp2 where Exist = 1 or IsDir = 1              drop table #filetmp2           end          end           SELECT Name AS [Name], IsFile AS [IsFile], FullName AS [FullName] FROM #filetmpfin ORDER BY [IsFile] ASC,[Name] ASC drop table #filetmpfin ",244,74,170,5328,46,489
"SELECT     DB_NAME (database_id) as [Database Name],     name as [Database File Name],     [Type] = CASE WHEN Type_Desc = 'ROWS' THEN 'Data File(s)'             WHEN Type_Desc = 'LOG'  THEN 'Log File(s)'             ELSE Type_Desc END,     size*8/1024 as 'Size (MB)',     physical_name as [Database_File_Location] FROM sys.master_files ORDER BY 1,3  IF OBJECT_ID('tempdb.dbo.#space') IS NOT NULL     DROP TABLE #space  CREATE TABLE #space (       database_id INT PRIMARY KEY     , data_used_size DECIMAL(18,2)     , log_used_size DECIMAL(18,2) )  DECLARE @SQL NVARCHAR(MAX)  SELECT @SQL = STUFF((     SELECT '     USE [' + d.name + ']     INSERT INTO #space (database_id, data_used_size, log_used_size)     SELECT           DB_ID()         , SUM(CASE WHEN [type] = 0 THEN space_used END)         , SUM(CASE WHEN [type] = 1 THEN space_used END)     FROM (         SELECT s.[type], space_used = SUM(FILEPROPERTY(s.name, ''SpaceUsed'') * 8. / 1024)         FROM sys.database_files s         GROUP BY s.[type]     ) t;'     FROM sys.databases d     WHERE d.[state] = 0     FOR XML PATH(''), TYPE).value('.', 'NVARCHAR(MAX)'), 1, 2, '')  EXEC sys.sp_executesql @SQL  SELECT       d.database_id     , d.name     , d.state_desc     , d.recovery_model_desc     , t.total_size     , t.data_size     , s.data_used_size     , t.log_size     , s.log_used_size     , bu.full_last_date     , bu.full_size     , bu.log_last_date     , bu.log_size FROM (     SELECT           database_id         , log_size = CAST(SUM(CASE WHEN [type] = 1 THEN size END) * 8. / 1024 AS DECIMAL(18,2))         , data_size = CAST(SUM(CASE WHEN [type] = 0 THEN size END) * 8. / 1024 AS DECIMAL(18,2))         , total_size = CAST(SUM(size) * 8. / 1024 AS DECIMAL(18,2))     FROM sys.master_files     GROUP BY database_id ) t JOIN sys.databases d ON d.database_id = t.database_id LEFT JOIN #space s ON d.database_id = s.database_id LEFT JOIN (     SELECT           database_name         , full_last_date = MAX(CASE WHEN [type] = 'D' THEN backup_finish_date END)         , full_size = MAX(CASE WHEN [type] = 'D' THEN backup_size END)         , log_last_date = MAX(CASE WHEN [type] = 'L' THEN backup_finish_date END)         , log_size = MAX(CASE WHEN [type] = 'L' THEN backup_size END)     FROM (         SELECT               s.database_name             , s.[type]             , s.backup_finish_date             , backup_size =                         CAST(CASE WHEN s.backup_size = s.compressed_backup_size                                     THEN s.backup_size                                     ELSE s.compressed_backup_size                         END / 1048576.0 AS DECIMAL(18,2))             , RowNum = ROW_NUMBER() OVER (PARTITION BY s.database_name, s.[type] ORDER BY s.backup_finish_date DESC)         FROM msdb.dbo.backupset s         WHERE s.[type] IN ('D', 'L')     ) f     WHERE f.RowNum = 1     GROUP BY f.database_name ) bu ON d.name = bu.database_name ORDER BY t.total_size DESC  SELECT      req.session_id     , req.total_elapsed_time AS duration_ms     , req.cpu_time AS cpu_time_ms     , req.total_elapsed_time - req.cpu_time AS wait_time     , req.logical_reads     , SUBSTRING (REPLACE (REPLACE (SUBSTRING (ST.text, (req.statement_start_offset/2) + 1,         ((CASE statement_end_offset            WHEN -1            THEN DATALENGTH(ST.text)              ELSE req.statement_end_offset          END - req.statement_start_offset)/2) + 1) , CHAR(10), ' '), CHAR(13), ' '),        1, 512)  AS statement_text   FROM sys.dm_exec_requests AS req     CROSS APPLY sys.dm_exec_sql_text(req.sql_handle) AS ST ORDER BY total_elapsed_time DESC;  SELECT top 100 t.text,      (qs.total_elapsed_time/1000) / qs.execution_count AS avg_elapsed_time,      (qs.total_worker_time/1000) / qs.execution_count AS avg_cpu_time,      ((qs.total_elapsed_time/1000) / qs.execution_count ) - ((qs.total_worker_time/1000) / qs.execution_count) AS avg_wait_time,      qs.total_logical_reads / qs.execution_count AS avg_logical_reads,      qs.total_logical_writes / qs.execution_count AS avg_writes,      (qs.total_elapsed_time/1000) AS cumulative_elapsed_time_all_executions FROM sys.dm_exec_query_stats qs      CROSS apply sys.Dm_exec_sql_text (sql_handle) t -- WHERE t.text like '<Your Query>%' -- Replace <Your Query> with your query or the beginning part of your query. The special chars like '[','_','%','^' in the query should be escaped. ORDER BY (qs.total_elapsed_time / qs.execution_count) DESC  --Deadlock sql check SELECT     session_id,     start_time,      [status],     command,     blocking_session_id,     wait_type,     wait_time,     open_transaction_count,     transaction_id,     total_elapsed_time,     Definition = CAST(text AS VARCHAR(MAX)) FROM     SYS.DM_EXEC_REQUESTS     CROSS APPLY sys.dm_exec_sql_text(sql_handle)  WHERE blocking_session_id != 0  SELECT sqlserver_start_time, (committed_kb/1024) AS Total_Server_Memory_MB, (committed_target_kb/1024)  AS Target_Server_Memory_MB FROM sys.dm_os_sys_info; ",241,55,186,18648,933,482
"       WITH CTE AS (       SELECT DISTINCT i.object_id oid, i.index_id iid       FROM sys.indexes i WITH(nolock)       JOIN sys.index_columns ic WITH(nolock) ON i.object_id = ic.object_id       JOIN sys.columns c WITH(nolock) ON ic.column_id = c.column_id AND c.object_id = i.object_id       WHERE c.system_type_id = 42 AND c.user_type_id = 42 -- only datetime2 columns       AND ic.key_ordinal != 0 -- only key columns       )       SELECT COUNT_BIG(*) AS [NumDatetime2Indices], db_id() AS database_id       FROM CTE     ",240,135,105,4952,0,24033
