"declare      @CPU_Usage_Percentage int,      @Total_SQL_Server_Memory_MB int   -- CPU WITH y AS (     SELECT               CONVERT(VARCHAR(5), 100 - ca.c.value('.', 'INT')) AS system_idle,         CONVERT(VARCHAR(30), rb.event_date) AS event_date,         CONVERT(VARCHAR(8000), rb.record) AS record     FROM (            SELECT              CONVERT(XML, dorb.record) AS record,             DATEADD(ms, ( ts.ms_ticks - dorb.timestamp ), GETDATE()) AS event_date         FROM   sys.dm_os_ring_buffers AS dorb             CROSS JOIN (                  SELECT                      dosi.ms_ticks                  FROM sys.dm_os_sys_info AS dosi ) AS ts                 WHERE   dorb.ring_buffer_type = N'RING_BUFFER_SCHEDULER_MONITOR'                         AND record LIKE '%%' ) AS rb             CROSS APPLY rb.record.nodes('/Record/SchedulerMonitorEvent/SystemHealth/SystemIdle') AS ca(c)         )     SELECT @CPU_Usage_Percentage = (select          TOP 1 y.system_idle     FROM y      ORDER BY y.event_date DESC)   -- memory select @Total_SQL_Server_Memory_MB = (select      cntr_value / 1024 from sys.dm_os_performance_counters pc where   [object_name] = 'SQLServer:Memory Manager'         and counter_name = 'Total Server Memory (KB)'                                                                                                         )   select      @CPU_Usage_Percentage           [CPU_Usage_Percentage],      @Total_SQL_Server_Memory_MB     [Total_SQL_Server_Memory_MB]; 	 WITH DB_CPU_Stats AS (SELECT pa.DatabaseID, DB_Name(pa.DatabaseID) AS [Database Name], SUM(qs.total_worker_time/1000) AS [CPU_Time_Ms]  FROM sys.dm_exec_query_stats AS qs WITH (NOLOCK)  CROSS APPLY (SELECT CONVERT(int, value) AS [DatabaseID]               FROM sys.dm_exec_plan_attributes(qs.plan_handle)               WHERE attribute = N'dbid') AS pa  GROUP BY DatabaseID) SELECT ROW_NUMBER() OVER(ORDER BY [CPU_Time_Ms] DESC) AS [CPU Rank],        [Database Name], [CPU_Time_Ms] AS [CPU Time (ms)],        CAST([CPU_Time_Ms] * 1.0 / SUM([CPU_Time_Ms]) OVER() * 100.0 AS DECIMAL(5, 2)) AS [CPU Percent] FROM DB_CPU_Stats WHERE DatabaseID <> 32767 -- ResourceDB ORDER BY [CPU Rank] OPTION (RECOMPILE);   DECLARE @total_buffer INT;  SELECT @total_buffer = cntr_value FROM sys.dm_os_performance_counters  WHERE RTRIM([object_name]) LIKE '%Buffer Manager' AND counter_name = 'Database Pages';  ;WITH src AS (   SELECT    database_id, db_buffer_pages = COUNT_BIG(*)   FROM sys.dm_os_buffer_descriptors   --WHERE database_id BETWEEN 5 AND 32766   GROUP BY database_id ) SELECT [db_name] = CASE [database_id] WHEN 32767  THEN 'Resource DB'  ELSE DB_NAME([database_id]) END, db_buffer_pages, db_buffer_MB = db_buffer_pages / 128, db_buffer_percent = CONVERT(DECIMAL(6,3),  db_buffer_pages * 100.0 / @total_buffer) FROM src ORDER BY db_buffer_MB DESC;  ",9270,9264,6,0,0,18541
" DECLARE @total_buffer INT;  SELECT @total_buffer = cntr_value FROM sys.dm_os_performance_counters  WHERE RTRIM([object_name]) LIKE '%Buffer Manager' AND counter_name = 'Database Pages';  ;WITH src AS (   SELECT    database_id, db_buffer_pages = COUNT_BIG(*)   FROM sys.dm_os_buffer_descriptors   --WHERE database_id BETWEEN 5 AND 32766   GROUP BY database_id ) SELECT [db_name] = CASE [database_id] WHEN 32767  THEN 'Resource DB'  ELSE DB_NAME([database_id]) END, db_buffer_pages, db_buffer_MB = db_buffer_pages / 128, db_buffer_percent = CONVERT(DECIMAL(6,3),  db_buffer_pages * 100.0 / @total_buffer) FROM src ORDER BY db_buffer_MB DESC;  ",9123,9122,1,0,0,18247
"(@handler nvarchar(14),@MaxAttempt int,@newStatus nvarchar(6),@lockedby nvarchar(32))UPDATE Frs_ops_integration_queue SET Status=@newStatus,ActivityTimestamp=GETUTCDATE(),LockExpiryTime=DATEADD(MINUTE,2,GETUTCDATE()),LockedBy=@lockedby FROM Frs_ops_integration_queue WHERE RecId IN ('7C9C31ED54BD4DE5BE0D72A3E2107639', 'EEEA20B391D94DEA871EBDC7F0EB9015', '964C2A6A7D1E4812B696828A5BD817E4', '835E1BF73669484E97ECDAC7D9CFA919', '789117FA31B84072B883EF91CEEDCB67', '7F391CE098F8460E915DB6E50BEFC907', '3C175D40D8AD4A52BE19F06C9502881B', '368EF11B3A774886B1DDB13CBBFA9CDD', '4A4D052353A14019BD2F9E5149082A77', 'CD86C51E7B4F496B89C0BBF49EA40D04', 'DBB3EE2A678A457CAC7210BAC9DD8774', '6BD890E7AD304D69AC470F638CD44454', '721C571B92654F51A7B8C5165524AD02', 'A1030E5067D24820B27433B7FE97B922', 'BF943CF70F534E5A96A82EAAB4FBB969', 'EA16FE1C26E043F288B17DF2C0A808EA', '0E29125A90E3401F8DC38813AC967D5C', 'B6F541ED6C9E442082B37B05C2128729', '7D58FF9EA1E34F2E971F6013D5F023D2', '506CD4A86A904EA8B78AF3BD02122936', '07A7C996AF8E487083BC0CC6EC9F40C9', '1DE6C6440CE6452E9C38314466626FC9', '250282E4278C442786358CEA3E3394DD', 'BD2F5648FD714BFA9645790F46CF31B0', '8361E97168B24CB4AF59EC9B1BB96D77', '34345B1C8B47495EBBCF28D3ADDAB35F', 'EB7EC5B0957442BFA08379DE8FCF5D79', '235DBA5DE2DA49ACBF650F8077320580', '3FE0519ACDFB461A8CBB26B1ECDCC6F7', '674DAD77E3964D6998229A9934EEEE3E') SELECT * FROM Frs_ops_integration_queue MQ WITH (NOLOCK) WHERE RecId IN ('7C9C31ED54BD4DE5BE0D72A3E2107639', 'EEEA20B391D94DEA871EBDC7F0EB9015', '964C2A6A7D1E4812B696828A5BD817E4', '835E1BF73669484E97ECDAC7D9CFA919', '789117FA31B84072B883EF91CEEDCB67', '7F391CE098F8460E915DB6E50BEFC907', '3C175D40D8AD4A52BE19F06C9502881B', '368EF11B3A774886B1DDB13CBBFA9CDD', '4A4D052353A14019BD2F9E5149082A77', 'CD86C51E7B4F496B89C0BBF49EA40D04', 'DBB3EE2A678A457CAC7210BAC9DD8774', '6BD890E7AD304D69AC470F638CD44454', '721C571B92654F51A7B8C5165524AD02', 'A1030E5067D24820B27433B7FE97B922', 'BF943CF70F534E5A96A82EAAB4FBB969', 'EA16FE1C26E043F288B17DF2C0A808EA', '0E29125A90E3401F8DC38813AC967D5C', 'B6F541ED6C9E442082B37B05C2128729', '7D58FF9EA1E34F2E971F6013D5F023D2', '506CD4A86A904EA8B78AF3BD02122936', '07A7C996AF8E487083BC0CC6EC9F40C9', '1DE6C6440CE6452E9C38314466626FC9', '250282E4278C442786358CEA3E3394DD', 'BD2F5648FD714BFA9645790F46CF31B0', '8361E97168B24CB4AF59EC9B1BB96D77', '34345B1C8B47495EBBCF28D3ADDAB35F', 'EB7EC5B0957442BFA08379DE8FCF5D79', '235DBA5DE2DA49ACBF650F8077320580', '3FE0519ACDFB461A8CBB26B1ECDCC6F7', '674DAD77E3964D6998229A9934EEEE3E')",5043,1,5042,323,7,5043
"(@handler nvarchar(14),@MaxAttempt int,@newStatus nvarchar(6),@lockedby nvarchar(32))UPDATE Frs_ops_integration_queue SET Status=@newStatus,ActivityTimestamp=GETUTCDATE(),LockExpiryTime=DATEADD(MINUTE,2,GETUTCDATE()),LockedBy=@lockedby FROM Frs_ops_integration_queue WHERE RecId IN ('D41319636FAC49C1BF6642828FD47913', 'C49B85A96D214449B832159FF1959146', '761BD0B39F064815A0BE5741461A2A98', '9FE3B767BA09478988686924EAFF4A50', '69786B9059DB4AFCB91F68D622ED5ED2', 'F093446B6EDC4B1495D7ADDF933FAC0F', 'CFBD600AE8394592B475D12DCBEDCE48', '1220AC8EA5ED4988905D2BC69FF7B3D7', 'F51C9845A7FA40FE94DCE0D16F62C6A2', 'EE2FD842D2F34A0499C2AACBC1560050', '93602A33B8E648D38AEEC7D912F11502', '950238B6500D49CDB730D56E2FEE7090', '6929CCEF9D7543F0B3C5592ED13EC2DE', 'AD61864404D34E7C9406B4372E4FBFAC', '5DAC4F7A297A45FCAFCC929F9D3D7482', '5080D40A7DBB445485AD5ADCE8850058', '44AB62B5A1A647908E5E4B659DECC84C', '83A72C3E8E704DA499E91BEAE42A4D0F', '334C051EB1FC42D2A179616D8742BFF0', '9605D49D79BB420D8A2F09670FE4DDFE', 'AFBCF52B158A489FA162FE2825A25323', '47100E5D3FEE4EFD9D4B35A70FB80D25', '487F8E002B5E4BD58E7902259A3ECA2D', 'ADB464EC06B64E838352B6169A69EE6F', 'AFD19505CADB4CAFBC0FD9224A42FCB4', 'CB4C4CAE35044E0D9F9ADD7B9A7FE4EF', '30C66AC6FD564AD9AE2A874CDB88A7E2', '1B94DCFAFC804322AEE3FEE65974E60E', '73FF5BE889CA4F19AD86C4CDC68A4B4D', 'EE182164E2014EB58BAF7A87B8295122') SELECT * FROM Frs_ops_integration_queue MQ WITH (NOLOCK) WHERE RecId IN ('D41319636FAC49C1BF6642828FD47913', 'C49B85A96D214449B832159FF1959146', '761BD0B39F064815A0BE5741461A2A98', '9FE3B767BA09478988686924EAFF4A50', '69786B9059DB4AFCB91F68D622ED5ED2', 'F093446B6EDC4B1495D7ADDF933FAC0F', 'CFBD600AE8394592B475D12DCBEDCE48', '1220AC8EA5ED4988905D2BC69FF7B3D7', 'F51C9845A7FA40FE94DCE0D16F62C6A2', 'EE2FD842D2F34A0499C2AACBC1560050', '93602A33B8E648D38AEEC7D912F11502', '950238B6500D49CDB730D56E2FEE7090', '6929CCEF9D7543F0B3C5592ED13EC2DE', 'AD61864404D34E7C9406B4372E4FBFAC', '5DAC4F7A297A45FCAFCC929F9D3D7482', '5080D40A7DBB445485AD5ADCE8850058', '44AB62B5A1A647908E5E4B659DECC84C', '83A72C3E8E704DA499E91BEAE42A4D0F', '334C051EB1FC42D2A179616D8742BFF0', '9605D49D79BB420D8A2F09670FE4DDFE', 'AFBCF52B158A489FA162FE2825A25323', '47100E5D3FEE4EFD9D4B35A70FB80D25', '487F8E002B5E4BD58E7902259A3ECA2D', 'ADB464EC06B64E838352B6169A69EE6F', 'AFD19505CADB4CAFBC0FD9224A42FCB4', 'CB4C4CAE35044E0D9F9ADD7B9A7FE4EF', '30C66AC6FD564AD9AE2A874CDB88A7E2', '1B94DCFAFC804322AEE3FEE65974E60E', '73FF5BE889CA4F19AD86C4CDC68A4B4D', 'EE182164E2014EB58BAF7A87B8295122')",4001,1,4000,332,4,4001
"(@handler nvarchar(14),@MaxAttempt int,@newStatus nvarchar(6),@lockedby nvarchar(32))UPDATE Frs_ops_integration_queue SET Status=@newStatus,ActivityTimestamp=GETUTCDATE(),LockExpiryTime=DATEADD(MINUTE,2,GETUTCDATE()),LockedBy=@lockedby FROM Frs_ops_integration_queue WHERE RecId IN ('169EDEB62F2449F29B5590CCC745E885', 'F22164034AE645EC917D4AEB421EA165', 'BD6DC60A66B24DFFBCEEA6B1A3DA7221', '7870788446D04552BD718BC55798B0FF', '857C5EDE77DF46EAAD3D36461D6F60C1', 'FCCAD5BAC85B42AE83E5B6A91234F69A', '4921EBF7E5AD41A3915A25BCE205B571', '7A3DABEB562B461BBB055683D8B5FF7E', 'F1D42B2F02424AEBB7440E101686A035', 'A54A450A6C3745E8A0860B3AB1C2D126', 'B84660C7845A4317958F08A1C245744C', 'A365EF4136764D258993318BD1999335', '4CC84680CE994542A55CC679B698D984', '487A9ADEFA8342CCA3C156501169DA72', 'E9A570A0A436401BAF82BA3EDA6F62FD', '7C0019E46F324FF58B018572E3D67F15', '5EA5D3AB6DFF434193844DBF256830D8', '6D6F692C597D4BCBA7BF6402556B1FD1', 'D22627592F1D479B8C07076FE6303CB4', '4E4681225A174B8CAB42510C95CBD510', '7475C765943C41F1A6CC2C463D644998', '93B02993F1CD48AE9EE4AE0AE357EB32', 'BE97669BEE5B4E9D9DE465D10EF74290', 'B2D40B09E1174CB0B784E054B8E18A68', '5AEDE19EDE164BCDA387C06E561AA60F', 'B4F9E714CFC54C4FA94912CFA9FF4387', '12C47845D6284046B1AD9A6A7DB95384', '26826587F3D742989C02E0655B12586F', '123DC1DD47DA470D8A0E65EEE72B7CB1', 'C2F6B0FBF31A433D8C7C2EB1B9E8E361') SELECT * FROM Frs_ops_integration_queue MQ WITH (NOLOCK) WHERE RecId IN ('169EDEB62F2449F29B5590CCC745E885', 'F22164034AE645EC917D4AEB421EA165', 'BD6DC60A66B24DFFBCEEA6B1A3DA7221', '7870788446D04552BD718BC55798B0FF', '857C5EDE77DF46EAAD3D36461D6F60C1', 'FCCAD5BAC85B42AE83E5B6A91234F69A', '4921EBF7E5AD41A3915A25BCE205B571', '7A3DABEB562B461BBB055683D8B5FF7E', 'F1D42B2F02424AEBB7440E101686A035', 'A54A450A6C3745E8A0860B3AB1C2D126', 'B84660C7845A4317958F08A1C245744C', 'A365EF4136764D258993318BD1999335', '4CC84680CE994542A55CC679B698D984', '487A9ADEFA8342CCA3C156501169DA72', 'E9A570A0A436401BAF82BA3EDA6F62FD', '7C0019E46F324FF58B018572E3D67F15', '5EA5D3AB6DFF434193844DBF256830D8', '6D6F692C597D4BCBA7BF6402556B1FD1', 'D22627592F1D479B8C07076FE6303CB4', '4E4681225A174B8CAB42510C95CBD510', '7475C765943C41F1A6CC2C463D644998', '93B02993F1CD48AE9EE4AE0AE357EB32', 'BE97669BEE5B4E9D9DE465D10EF74290', 'B2D40B09E1174CB0B784E054B8E18A68', '5AEDE19EDE164BCDA387C06E561AA60F', 'B4F9E714CFC54C4FA94912CFA9FF4387', '12C47845D6284046B1AD9A6A7DB95384', '26826587F3D742989C02E0655B12586F', '123DC1DD47DA470D8A0E65EEE72B7CB1', 'C2F6B0FBF31A433D8C7C2EB1B9E8E361')",3921,1,3920,321,5,3921
"(@handler nvarchar(14),@MaxAttempt int,@newStatus nvarchar(6),@lockedby nvarchar(32))UPDATE Frs_ops_integration_queue SET Status=@newStatus,ActivityTimestamp=GETUTCDATE(),LockExpiryTime=DATEADD(MINUTE,2,GETUTCDATE()),LockedBy=@lockedby FROM Frs_ops_integration_queue WHERE RecId IN ('02DED223AF8144E2950D06E74F78DAB9', '04A2D8D116684EFA8450DD91D3EA7077', 'B55448456A08454F8F7C3ADEEE0E1CC0', '85F9B061FA0E45F3BC8CD9343C86140D', 'C4EAF7F7727B4168B836DD637F4E3239', 'B41503D4D28D4FC6A030DC36DEF2A690', 'FA98AA2C503B446A801B28989C9FE1EC', '43E70BB6F31742C2858B75B44AAB6DF0', '21CCDCD3B86F45D3AECA9AFE7F17CC3D', 'CAABF9B40E1B487E820A46C301F0FBB5', '6079A7731E0B4CBE98F5F0E7D3A0BE41', 'A83CB3BF0FFF4605A2D5627DF4E97524', '74A3349EB24A436C8A5A56BFC5703526', 'E283D2B056404DC08B5CE27E081CCCBA', '22D83F35EF8E4DC5955FCE9DAA028AA0', '7CE5514E9B9C4CF4AA091EE88352A843', '71792846774544708276303346B89DFB', '58C6C3AFAE8445D4A27EC13BAF95FFB1', '3D0604B79385411C92922CD392778F50', '7C3959F8BF494E2B9BFE2DC68EB84369', 'F1E9A2A096FC42669C665F73DE779E4E', '706AE6CAFCF74093A97178A69210ADDA', '9167E4AA0192432E93284E5B0919DCD7', '112BD7F5956B43E284AFFC2C22C3A561', '20365C803DF846A480F1B7C0980A9284', '7A922492BF2340A9B12C44F4539FB7BD', '254F93FB66E54A6DB2D10B38FD8A9AE3', '79E8C983EB6C4995BE8B05B3E4AA65D1', 'ACB8EF92439C4E62B3EC9741ACC26D49', '8AD5BFAE7CF54766803DC4EA38FA00A6') SELECT * FROM Frs_ops_integration_queue MQ WITH (NOLOCK) WHERE RecId IN ('02DED223AF8144E2950D06E74F78DAB9', '04A2D8D116684EFA8450DD91D3EA7077', 'B55448456A08454F8F7C3ADEEE0E1CC0', '85F9B061FA0E45F3BC8CD9343C86140D', 'C4EAF7F7727B4168B836DD637F4E3239', 'B41503D4D28D4FC6A030DC36DEF2A690', 'FA98AA2C503B446A801B28989C9FE1EC', '43E70BB6F31742C2858B75B44AAB6DF0', '21CCDCD3B86F45D3AECA9AFE7F17CC3D', 'CAABF9B40E1B487E820A46C301F0FBB5', '6079A7731E0B4CBE98F5F0E7D3A0BE41', 'A83CB3BF0FFF4605A2D5627DF4E97524', '74A3349EB24A436C8A5A56BFC5703526', 'E283D2B056404DC08B5CE27E081CCCBA', '22D83F35EF8E4DC5955FCE9DAA028AA0', '7CE5514E9B9C4CF4AA091EE88352A843', '71792846774544708276303346B89DFB', '58C6C3AFAE8445D4A27EC13BAF95FFB1', '3D0604B79385411C92922CD392778F50', '7C3959F8BF494E2B9BFE2DC68EB84369', 'F1E9A2A096FC42669C665F73DE779E4E', '706AE6CAFCF74093A97178A69210ADDA', '9167E4AA0192432E93284E5B0919DCD7', '112BD7F5956B43E284AFFC2C22C3A561', '20365C803DF846A480F1B7C0980A9284', '7A922492BF2340A9B12C44F4539FB7BD', '254F93FB66E54A6DB2D10B38FD8A9AE3', '79E8C983EB6C4995BE8B05B3E4AA65D1', 'ACB8EF92439C4E62B3EC9741ACC26D49', '8AD5BFAE7CF54766803DC4EA38FA00A6')",3871,1,3870,323,4,3871
"       SELECT       db_id() AS database_id,       c.system_type_id,       c.user_type_id,       c.is_sparse,       c.is_column_set,       c.is_filestream,       c.encryption_type,       CASE WHEN o.object_id IS NOT NULL THEN 1 ELSE 0 END AS is_user,       COUNT_BIG(*) AS [ColCount],       CASE WHEN c.collation_name IS NULL THEN CONVERT(VARCHAR(128), SERVERPROPERTY('Collation')) ELSE c.collation_name END AS collation_name,       AVG(c.max_length) AS avg_max_length       FROM sys.columns c WITH (NOLOCK)       LEFT OUTER JOIN sys.objects o WITH (NOLOCK)       ON o.object_id = c.object_id       AND o.type = 'U'       GROUP BY       c.system_type_id,       c.user_type_id,       c.is_sparse,       c.is_column_set,       c.encryption_type,       c.is_filestream,       CASE WHEN o.object_id IS NOT NULL THEN 1 ELSE 0 END,       CASE WHEN c.collation_name IS NULL THEN CONVERT(VARCHAR(128), SERVERPROPERTY('Collation')) ELSE c.collation_name END     ",3627,2372,1255,800,0,7255
"(@handler nvarchar(14),@MaxAttempt int,@newStatus nvarchar(6),@lockedby nvarchar(32))UPDATE Frs_ops_integration_queue SET Status=@newStatus,ActivityTimestamp=GETUTCDATE(),LockExpiryTime=DATEADD(MINUTE,2,GETUTCDATE()),LockedBy=@lockedby FROM Frs_ops_integration_queue WHERE RecId IN ('5906D73359BF41D9B297B62153F922FC', '95E21970091A4B73A61271A2263B7D88', '3A28323A38C3430CB2703F47C783B8A5', '67BDF87A927940D189E794167F21FA54', '0ABA7E72806E46A791ED47B3D18F3768', 'F7B3CD1D49A047ECBD711519B302246C', '390034F3A3DC4579A2AFAF0F704D61B0', 'C434CBAECA7A4362858C99F6B6BB8F83', 'BA060F1A4C044A159A78D7F4D740AEA3', '1D4E98A4F35149CDA4EA66D7C785D050', 'F33B79B55ACE4A2EAEBA18BD32497561', '41631B7721CC41D59AA6A5A0D9B51C14', '76E6D826CF6C48AD88875F36E460AF98', '42B9EA8751904871B280BFF1A2B0C7A6', 'DC32DA4CB46B41BD83C83A24425E03D9', '13756F1BF2B048BB912697B3AD50962D', 'D5DF0F8E426B41F1BAE8A18CF3E4C7AE', '34101B6453B94721968A72546891E290', 'D94C4F7043914F12810DC7899BCBA12C', '90C68A95EE884D18A77CCBCAEF92AB36', 'B84A1477CA114251B075C3FAC0167F70', 'FDD68DE600C842E081093CAAF0D8E75C', '7D7A6C2894414A42BDF676B913183FF2', '9513BE7D915C41A19323329B85EBC7D0', '8FDA99232EA64B2BB3D7CF6A06EA44AB', 'C22F88341E8D47D9B5A3B2DD09ABE37F', '31FC1FB4BB684D588E4D794129952A2E', '8EB70DB633684B46ACC5C7DFAE72FE46', '43114C097AE74D36829EE71A7E3DA6A4') SELECT * FROM Frs_ops_integration_queue MQ WITH (NOLOCK) WHERE RecId IN ('5906D73359BF41D9B297B62153F922FC', '95E21970091A4B73A61271A2263B7D88', '3A28323A38C3430CB2703F47C783B8A5', '67BDF87A927940D189E794167F21FA54', '0ABA7E72806E46A791ED47B3D18F3768', 'F7B3CD1D49A047ECBD711519B302246C', '390034F3A3DC4579A2AFAF0F704D61B0', 'C434CBAECA7A4362858C99F6B6BB8F83', 'BA060F1A4C044A159A78D7F4D740AEA3', '1D4E98A4F35149CDA4EA66D7C785D050', 'F33B79B55ACE4A2EAEBA18BD32497561', '41631B7721CC41D59AA6A5A0D9B51C14', '76E6D826CF6C48AD88875F36E460AF98', '42B9EA8751904871B280BFF1A2B0C7A6', 'DC32DA4CB46B41BD83C83A24425E03D9', '13756F1BF2B048BB912697B3AD50962D', 'D5DF0F8E426B41F1BAE8A18CF3E4C7AE', '34101B6453B94721968A72546891E290', 'D94C4F7043914F12810DC7899BCBA12C', '90C68A95EE884D18A77CCBCAEF92AB36', 'B84A1477CA114251B075C3FAC0167F70', 'FDD68DE600C842E081093CAAF0D8E75C', '7D7A6C2894414A42BDF676B913183FF2', '9513BE7D915C41A19323329B85EBC7D0', '8FDA99232EA64B2BB3D7CF6A06EA44AB', 'C22F88341E8D47D9B5A3B2DD09ABE37F', '31FC1FB4BB684D588E4D794129952A2E', '8EB70DB633684B46ACC5C7DFAE72FE46', '43114C097AE74D36829EE71A7E3DA6A4')",3217,1,3216,265,6,3217
"(@p0 varchar(32),@p1 datetime,@p2 varchar(16),@p3 varchar(8),@p4 varchar(5),@p5 varchar(390),@p6 varchar(20),@p7 datetime,@p8 varchar(17),@p9 varchar(37),@p10 varchar(2),@p11 varchar(32),@p12 varchar(15),@p13 varchar(32))insert into FRS_IM_Change (RecId, LastModDateTime, LastModBy, CreatedDateTime, CreatedBy, FRS_IM_ChangeType, Type, Description, SoftwareType, TimeStamp, Manufacturer, ComponentName, CILink_Category, CILink_RecID, FRS_CIComponentLink_Category, FRS_CIComponentLink_RecID) values (@p0, @p1, @p2, @p1, @p2, @p3, @p4, @p5, @p6, @p7, @p8, @p9, @p10, @p11, @p12, @p13)",2347,0,2347,26,4,2347
"SELECT t.TableRef, t.CommonlyUsed, t.DesignerName, t.DisplayName, t.IsFrsOwned, t.IsInChangeControl, t.PureValidationObject, t.isSystem, t.TableName, t.TableRef, t.Definition, t.LastModified, t.ModifiedBy  FROM frs_def_tables as t WITH (NOLOCK)",2171,167,2004,76066,0,4342
